SourceNode	TargetNode	Weight	SourceLayer	TargetLayer	Channel
saline lake	Nitriliruptor alkaliphilus DSM 45188	3	Environment	Organism	knowledge
saline lake	Arsenophonus nasoniae DSM 15247	3	Environment	Organism	knowledge
saline lake	Bacillus aidingensis DSM 18341	3	Environment	Organism	knowledge
saline lake	Bacillus chagannorensis DSM 18086	3	Environment	Organism	knowledge
saline lake	Geoalkalibacter ferrihydriticus DSM 17813	3	Environment	Organism	knowledge
saline lake	Jonesia quinghaiensis DSM 15701	3	Environment	Organism	knowledge
saline lake	Marinospirillum alkaliphilum DSM 21637	3	Environment	Organism	knowledge
saline lake	Salinicoccus alkaliphilus DSM 16010	3	Environment	Organism	knowledge
saline lake	Salinimicrobium terrae DSM 17865	3	Environment	Organism	knowledge
saline lake	Salsuginibacillus kocurii DSM 18087	3	Environment	Organism	knowledge
saline lake	Roseinatronobacter thiooxidans	3	Environment	Organism	knowledge
saline lake	Bacillus bogoriensis ATCC BAA-922	3	Environment	Organism	knowledge
saline lake	Hungateiclostridium alkalicellulosi	3	Environment	Organism	knowledge
saline lake	Desulfosalsimonas propionicica	3	Environment	Organism	knowledge
saline lake	Prauserella salsuginis	3	Environment	Organism	knowledge
saline lake	Prauserella aidingensis	3	Environment	Organism	knowledge
saline lake	Natronincola ferrireducens	3	Environment	Organism	knowledge
saline lake	Thioalkalivibrio sp. K90mix	3	Environment	Organism	knowledge
saline lake	Natronincola peptidivorans	3	Environment	Organism	knowledge
saline lake	Rhodobaca barguzinensis	3	Environment	Organism	knowledge
saline lake	Halolactibacillus alkaliphilus	3	Environment	Organism	knowledge
saline lake	Halomicrobium mukohataei DSM 12286	3	Environment	Organism	knowledge
saline lake	Salsuginibacillus halophilus	3	Environment	Organism	knowledge
saline lake	Halorhabdus utahensis DSM 12940	3	Environment	Organism	knowledge
saline lake	Methanohalophilus mahii DSM 5219	3	Environment	Organism	knowledge
saline lake	Dethiobacter alkaliphilus AHT 1	3	Environment	Organism	knowledge
saline lake	Desulfonatronospira thiodismutans ASO3-1	3	Environment	Organism	knowledge
saline lake	Halanaerobium praevalens DSM 2228	3	Environment	Organism	knowledge
saline lake	Natronococcus occultus SP4	3	Environment	Organism	knowledge
saline lake	Gracilibacillus halotolerans	3	Environment	Organism	knowledge
saline lake	Spirochaeta africana DSM 8902	3	Environment	Organism	knowledge
saline lake	Alkaliflexus imshenetskii DSM 15055	3	Environment	Organism	knowledge
saline lake	Alkalispirochaeta alkalica DSM 8900	3	Environment	Organism	knowledge
saline marsh	Spirochaeta cellobiosiphila DSM 17781	3	Environment	Organism	knowledge
saline marsh	Saccharophagus degradans 2-40	3	Environment	Organism	knowledge
saline marsh	Saccharophagus degradans 2-40	4	Environment	Organism	knowledge
saline marsh	Methanococcus voltae A3	3	Environment	Organism	knowledge
saline marsh	Methanococcus voltae A3	4	Environment	Organism	knowledge
saline marsh	Halomicrobium mukohataei DSM 12286	3	Environment	Organism	knowledge
saline marsh	Halomicrobium mukohataei DSM 12286	4	Environment	Organism	knowledge
